generation biomass (MW),generation fossil brown coal/lignite (MW),generation fossil gas (MW),generation fossil hard coal (MW),generation fossil oil (MW),generation hydro run-of-river and poundage (MW),generation hydro water reservoir (MW),generation nuclear (MW),generation other (MW),generation other renewable (MW),generation solar (MW),generation waste (MW),generation wind onshore (MW),forecast solar day ahead (MW),forecast wind onshore day ahead (MW),total load forecast (MW),total load actual (MW),price day ahead (EUR/MWh),total production (MW),year,month,hour,price for the previous hour (EUR/MWh),day
456.0,0.0,3529.0,1291.0,248.0,1502.0,4505.0,7094.0,83.0,70.0,117.0,217.0,10953.0,78.0,10857.0,27700.0,26863.0,30.23,30065.0,2015,1,23,70.1,3
387.0,623.0,5799.0,4802.0,283.0,924.0,1907.0,5984.0,56.0,87.0,504.0,313.0,2820.0,426.0,2965.0,26667.0,26429.0,62.46,24489.0,2018,7,6,61.55,25
362.0,0.0,3136.0,1370.0,322.0,1479.0,4512.0,7115.0,88.0,65.0,106.0,197.0,6747.0,95.0,6576.0,24920.0,24699.0,20.94,25499.0,2016,9,2,49.0,3
322.0,663.0,4079.0,3948.0,273.0,1018.0,983.0,6001.0,49.0,88.0,541.0,276.0,5986.0,590.0,5888.0,25663.0,25735.0,55.0,24227.0,2018,7,2,60.23,18
369.0,643.0,4399.0,4131.0,199.0,1112.0,2193.0,5967.0,57.0,95.0,4766.0,293.0,2455.0,5163.0,3232.0,28702.0,28224.0,62.14,26679.0,2018,7,14,68.68,15
352.0,259.0,7591.0,7196.0,326.0,763.0,1105.0,6006.0,50.0,87.0,323.0,332.0,5472.0,316.0,5773.0,30622.0,30204.0,56.75,29862.0,2017,6,0,59.93,20
552.0,566.0,4151.0,5129.0,357.0,651.0,1600.0,6588.0,87.0,68.0,5072.0,261.0,10320.0,4562.0,10165.0,33169.0,32941.0,61.43,35402.0,2015,8,12,72.44,13
531.0,931.0,5406.0,7820.0,342.0,1133.0,3670.0,7103.0,83.0,68.0,962.0,251.0,8841.0,1002.0,9458.0,38192.0,38207.0,65.02,37141.0,2015,1,10,77.42,19
353.0,479.0,3834.0,5170.0,226.0,684.0,1180.0,6965.0,63.0,89.0,3911.0,328.0,1631.0,3231.0,1759.0,25363.0,25715.0,68.14,24913.0,2018,9,17,72.93,16
386.0,620.0,4998.0,3703.0,250.0,1518.0,2928.0,6611.0,59.0,99.0,89.0,337.0,6885.0,51.0,6913.0,30498.0,30520.0,55.01,28483.0,2018,2,22,65.53,17
504.0,0.0,3603.0,2323.0,325.0,904.0,3209.0,5046.0,85.0,72.0,54.0,159.0,8703.0,71.0,8876.0,24755.0,24684.0,33.74,24987.0,2015,5,6,40.58,15
387.0,697.0,4064.0,5282.0,312.0,676.0,713.0,6990.0,58.0,111.0,89.0,314.0,2860.0,92.0,2391.0,24516.0,24481.0,69.0,22553.0,2018,9,5,71.5,21
390.0,765.0,7704.0,5622.0,338.0,736.0,3396.0,6972.0,62.0,113.0,1282.0,319.0,2456.0,1545.0,3011.0,32753.0,32958.0,75.0,30155.0,2018,9,19,77.75,21
357.0,595.0,8616.0,4769.0,211.0,645.0,1278.0,5052.0,56.0,97.0,1240.0,298.0,3355.0,1131.0,3576.0,27634.0,27640.0,58.64,26569.0,2016,12,9,60.25,11
256.0,396.0,3816.0,2097.0,253.0,820.0,486.0,6193.0,15.0,97.0,41.0,284.0,10485.0,114.0,10346.0,23737.0,23446.0,35.3,25239.0,2017,4,2,43.49,28
363.0,655.0,6416.0,6533.0,261.0,1265.0,3069.0,6078.0,55.0,104.0,4888.0,337.0,1005.0,4516.0,1016.0,33375.0,33079.0,61.48,31029.0,2018,2,11,65.19,24
315.0,0.0,3832.0,1725.0,245.0,1927.0,6556.0,5059.0,62.0,105.0,2941.0,328.0,3051.0,3458.0,3742.0,29805.0,29353.0,48.39,26146.0,2018,4,12,55.77,30
274.0,0.0,2951.0,804.0,194.0,1764.0,2910.0,4879.0,55.0,69.0,27.0,295.0,13300.0,13.0,13598.0,22878.0,23495.0,12.0,27522.0,2018,12,5,49.8,3
392.0,576.0,3557.0,4724.0,245.0,652.0,718.0,6966.0,57.0,75.0,77.0,261.0,2569.0,69.0,2587.0,22111.0,22505.0,40.49,20869.0,2016,8,4,46.86,28
400.0,589.0,7878.0,3639.0,339.0,494.0,1564.0,6803.0,52.0,93.0,4791.0,318.0,5858.0,4805.0,5726.0,34269.0,34729.0,51.5,32818.0,2017,6,15,60.11,9
381.0,761.0,8554.0,5232.0,281.0,717.0,1955.0,6935.0,12.0,100.0,85.0,316.0,2919.0,56.0,3088.0,29627.0,29471.0,75.65,28248.0,2018,5,7,62.72,9
312.0,0.0,5159.0,2420.0,231.0,1277.0,1645.0,7024.0,55.0,95.0,859.0,257.0,2354.0,1152.0,2308.0,24174.0,24360.0,39.07,21688.0,2016,11,8,43.59,6
471.0,309.0,4457.0,6065.0,337.0,1397.0,3902.0,7096.0,75.0,68.0,1114.0,131.0,6094.0,1515.0,6056.0,31288.0,31859.0,43.79,31516.0,2015,3,16,53.91,17
